Category,Subcategory,Item Name,Menu Description,Core Ingredients,Shared Pre-Prep / Components,Primary Equipment,Serving Ware,Target Price ₹,Trial Ceiling ₹,Availability,Best Pairing,Chai ke Saathi,Dietary,Protein Focus,Spice,Menu Status,Actual Portion Cost ₹,Food Cost %,Trial Status,Notes
Bowls & Comfort,Comfort Bowl,Creamy Mushroom Rice Bowl,"Velvety garlic-herb sautéed mushrooms over warm herbed butter rice with roasted vegetables and crisp salad side.","Mushrooms, garlic, cream, herbs, rice, seasonal vegetables, slaw/cucumber",Creamy mushroom base; herbed rice; roasted vegetables,Gas / induction,9 in universal deep bowl,199,209,All Day,Americano / Iced Tea,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Something Green,Salad,Crunchy Chana Salad,"Chickpeas, cucumber, tomato, carrot, cabbage, herbs, seeds, pickled onion and lemon dressing.","Chickpeas, cucumber, tomato, carrot, cabbage, herbs, seeds, pickled onion, lemon",Cooked chickpeas; slaw prep; pickled onion; dressing,No-cook,9 in universal deep bowl,169,179,All Day,Lemonade / Juice,No,Vegan adaptable,High,Mild,Core,,0,Pending,
Something Green,Salad,Warm Mushroom & Roast Veg Salad,"Warm creamy/herbed mushrooms, roasted seasonal vegetables, crispy chickpeas, seeds and mustard-lemon dressing.","Mushroom, seasonal vegetables, chickpeas, seeds, mustard, lemon, herbs",Creamy/herbed mushroom; roasted veg; crispy chickpeas; dressing,OTG + gas,9 in universal deep bowl,189,199,All Day,Americano / Lime Soda,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Pasta & Pizza,Pasta,Smol Pink Pasta,"Tomato, garlic, light cream and cheese.","Pasta, tomato sauce, garlic, cream, cheese, herbs",Tomato sauce base; par-cooked pasta optional,Gas / induction,9 in universal deep bowl,189,199,All Day,Iced Tea / Lime Soda,No,Vegetarian,Low-Medium,Mild,Core,,0,Pending,
Pasta & Pizza,Pasta,Garlic Chilli Aglio Olio,"Garlic, chilli, olive oil and herbs.","Pasta, garlic, chilli, olive oil, herbs, optional cheese",Garlic/chilli mise en place; par-cooked pasta optional,Gas / induction,9 in universal deep bowl,179,189,All Day,Americano / Lemonade,No,Vegan adaptable,Low,Medium,Core,,0,Pending,
Pasta & Pizza,Pizza,Classic Margherita,"Tomato, mozzarella and basil.","Pizza dough, tomato sauce, mozzarella, basil",Pizza dough; tomato sauce; grated cheese,OTG,10 in main plate,199,209,All Day,Cold Coffee / Lime Soda,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Pasta & Pizza,Pizza,Paneer Tikka & Pickled Onion Pizza,"Paneer, tomato sauce, mozzarella, pickled onion and coriander.","Pizza dough, paneer, tomato sauce, cheese, pickled onion, coriander",Dough; tomato sauce; paneer marinade; pickled onion,OTG,10 in main plate,219,229,All Day,Lemonade / Iced Tea,No,Vegetarian,High,Medium,Core,,0,Pending,
Pasta & Pizza,Pizza,Creamy Mushroom & Herb Pizza,"Creamy garlic mushrooms, mozzarella, herbs and chilli oil.","Pizza dough, creamy mushrooms, mozzarella, herbs, chilli oil",Dough; creamy mushroom base; chilli oil,OTG,10 in main plate,219,229,All Day,Americano / Iced Tea,No,Vegetarian,Medium,Mild-Medium,Core,,0,Pending,
Pasta & Pizza,Pizza Lab,Pizza Lab – Rotating,One experimental pizza rotates every few weeks: Bhutta Chilli Cheese / Aloo Achaar / Green Chutney Paneer / other test.,Uses existing dough + rotating toppings,Same dough/tomato/cheese system; one rotating topping prep,OTG,10 in main plate,229,249,All Day when active,Seasonal drink / Iced Tea,No,Varies,Varies,Varies,Seasonal,,0,Pending,All-day while active. Keep one experiment only.
Got the Munchies,Snack,Vada Pav,"Potato vada, garlic chutney, green chutney and chilli.","Pav, potato vada, garlic chutney, green chutney, chilli",Potato filling; vada batter; chutneys,Gas / air fryer or fry setup,7–8 in side plate,89,99,All Day,Smol Chai,Yes,Vegetarian,Low-Medium,Medium,Core,,0,Pending,
Got the Munchies,Snack,Timur Crispy Potatoes,"Air-crisped potatoes, garlic, timur seasoning and herb yoghurt.","Potatoes, garlic, timur, herbs, yoghurt",Par-cooked potatoes; seasoning; herb yoghurt,Air fryer,Small serving bowl,139,149,All Day,Iced Tea / Chai,No,Vegetarian,Low,Medium,Core,,0,Pending,
Got the Munchies,Snack,Crispy Corn Chaat,"Golden crispy fried sweet corn tossed with tangy chaat masala, diced onions, tomatoes, green chillies and fresh lime juice.","Corn, onion, tomato, green chilli, lime, chaat masala, fresh coriander",Portion corn; chaat seasoning mise en place,Wok / air fryer,Small serving bowl,139,149,All Day,Lime Soda / Cold Coffee,No,Vegetarian,Low,Medium,Core,,0,Pending,
Got the Munchies,Snack,French Fries,"Golden crispy potato fries lightly dusted with sea salt and peri-peri seasoning, served with garlic mayo dip.","Potatoes, sea salt, peri-peri seasoning, garlic mayo dip",Portion fries; spice dusting,Air fryer / fryer,Small serving bowl,119,139,All Day,Classic Cold Coffee / Fresh Lime Soda,No,Vegetarian,Low,Mild-Medium,Core,,0,Pending,
Got the Munchies,Snack,Chilli Cheese Toasts,"Artisanal crusty bread slices loaded with melted cheddar & mozzarella, finely chopped green chillies, bell peppers and herbs.","Bread, cheddar & mozzarella cheese, green chilli, bell pepper, herbs, butter",Spiced cheese mix; slice bread,OTG / grill,7–8 in side plate,129,139,All Day,Smol Chai / Coffee,Yes,Vegetarian,Medium,Medium,Core,,0,Pending,
Got the Munchies,Sharing,Loaded Papad Nachos,"Papad crisps, chickpeas or rajma, cheese, yoghurt, tomato, chutneys and pickled onions.","Papad, chickpeas/rajma, cheese, yoghurt, tomato, chutneys, pickled onions",Roasted papad; cooked legumes; chutneys; pickled onions,OTG + assembly,Large sharing platter,199,219,All Day,Lime Soda / Seasonal Drink,No,Vegetarian,Medium-High,Medium,Core,,0,Pending,
Got the Munchies,Sharing,Conversation Board,"A changing sharing board with smashed chickpea dip, crispy chana, toast, potatoes, pickle, vegetables and seasonal dips.","Chickpeas, bread, potatoes, vegetables, pickle, yoghurt/tahini dips",Chickpea dip; crispy chana; toast; potatoes; dips; pickles,Mixed / assembly,Large sharing platter,329,349,All Day,Coffee / Seasonal Drink,No,Vegetarian; vegan adaptable,Medium-High,Mild-Medium,Core,,0,Pending,Keep components flexible to absorb prep surplus and seasonal produce.
There's Always Room,Dessert,Affogato,Vanilla ice cream with a shot of espresso.,"Vanilla ice cream, espresso",Portion ice cream,Espresso machine,Small dessert bowl / cup,129,139,All Day,—,No,Vegetarian,Low,None,Core,,0,Pending,
There's Always Room,Dessert,Warm Chocolate Brownie,"Warm brownie, vanilla ice cream and sea salt.","Brownie, vanilla ice cream, sea salt",Bake brownie batch; portion,OTG + microwave,7–8 in side plate,149,169,All Day,Cappuccino / Americano,No,Vegetarian,Low,None,Core,,0,Pending,
There's Always Room,Dessert,Cake for Dessert,"Freshly baked rich chocolate fudge cake slice with velvety Belgian chocolate ganache and chocolate curls.","Cocoa, flour, Belgian chocolate ganache, butter, sugar, chocolate curls",Bake daily artisanal cake; portion slices,OTG / Bakery display,7–8 in side plate,159,179,All Day,Tapovan Pour Over / Cappuccino,No,Vegetarian,Low,None,Core,,0,Pending,Signature daily rotating dessert cake slice.
"Coffee, Obviously",Coffee,Espresso,Single espresso.,"Coffee beans, water",Dial-in grinder,Espresso machine,Espresso cup,79,89,All Day,Brownie / Affogato,No,Vegan,Low,None,Core,,0,Pending,
"Coffee, Obviously",Coffee,Americano,Espresso with hot water.,"Coffee beans, water",Dial-in grinder,Espresso machine,Coffee cup,99,109,All Day,Oats Bowl / Aglio Olio,No,Vegan,Low,None,Core,,0,Pending,
"Coffee, Obviously",Coffee,Cappuccino,Espresso with steamed milk and foam.,"Coffee beans, milk",Dial-in grinder; chilled milk,Espresso machine,Cappuccino cup,119,129,All Day,Mushroom Omelette / Brownie,No,Vegetarian,Medium,None,Core,,0,Pending,
"Coffee, Obviously",Coffee,Café Latte,Espresso with steamed milk.,"Coffee beans, milk",Dial-in grinder; chilled milk,Espresso machine,Latte cup,129,139,All Day,Breakfast / Sandwiches,No,Vegetarian,Medium,None,Core,,0,Pending,
"Coffee, Obviously",Coffee,Classic Cold Coffee,"Coffee, milk, ice and restrained sweetness.","Coffee, milk, ice, sugar/jaggery",Cold coffee concentrate optional,Blender,Tall cold-coffee glass,139,149,All Day,Chilli Cheese Toast / Pizza,No,Vegetarian,Medium,None,Core,,0,Pending,
Cold & Easy,Cold Drink,Fresh Lime Soda,"Sweet, salted or mixed.","Lime, soda, sugar/salt, ice",Lime juice; simple syrup optional,No-cook,Universal cold-drink glass,69,79,All Day,Vada Pav / Bowl,No,Vegan,Low,None,Core,,0,Pending,
Cold & Easy,Cold Drink,Cucumber Mint Lemonade,"Cucumber, mint and citrus.","Cucumber, mint, lemon/lime, sugar, water, ice",Cucumber-mint base; citrus juice,No-cook,Universal cold-drink glass,99,109,All Day,Sandwiches / Salad,No,Vegan,Low,None,Core,,0,Pending,
Cold & Easy,Cold Drink,House Iced Tea,"Tea, citrus and restrained sweetness.","Black tea, citrus, sugar, ice",Tea concentrate; citrus,No-cook,Universal cold-drink glass,99,109,All Day,Pizza / Pasta,No,Vegan,Low,None,Core,,0,Pending,
Cold & Easy,Juice,Seasonal Fresh Juice,"One or two fruits only, based on quality and season.","Seasonal fruit, optional citrus",Wash/cut fruit,Juicer / blender,Universal cold-drink glass,99,129,All Day when active,Breakfast / Salad,No,Vegan,Varies,None,Seasonal,,0,Pending,Keep only when fruit quality and cost make sense.
Shakes,Shake,Banana Peanut Butter Oats Shake,"Banana, oats, peanut butter and milk; substantial enough for a light breakfast.","Banana, oats, peanut butter, milk, ice",Portion oats and peanut butter,Blender,Tall shake glass,159,169,All Day,Breakfast,No,Vegetarian,High,None,Core,,0,Pending,
Shakes,Shake,Coffee Cocoa Shake,"Coffee, cocoa, milk and a little ice cream.","Coffee, cocoa, milk, ice cream, ice",Coffee concentrate optional,Blender,Tall shake glass,159,169,All Day,Brownie / Toast,No,Vegetarian,Medium,None,Core,,0,Pending,
Shakes,Shake,Seasonal Fruit & Yoghurt Shake,"Seasonal fruit, yoghurt and minimal added sugar.","Seasonal fruit, yoghurt, milk/water, optional honey",Prep seasonal fruit,Blender,Tall shake glass,149,159,All Day when active,Breakfast / Salad,No,Vegetarian,Medium,None,Seasonal,,0,Pending,
Smol Experiments,Signature Drink,Jaggery Sea-Salt Latte,"Espresso, jaggery, milk and lightly salted foam.","Coffee, milk, jaggery syrup, salt",Jaggery syrup; salted foam mix,Espresso machine,Latte cup / cold glass,169,179,All Day,Brownie / Sandwich,No,Vegetarian,Medium,None,Core,,0,Pending,
Smol Experiments,Signature Drink,Himalayan Citrus Espresso Tonic,"Espresso, house citrus cordial and tonic over ice.","Coffee, citrus cordial, tonic, ice",Citrus cordial,Espresso machine,Universal cold-drink glass,169,179,All Day,Munchies / Pizza,No,Vegan,Low,None,Core,,0,Pending,
Smol Experiments,Signature Drink,Buransh Fizz,"Buransh, lime and sparkling water.","Buransh cordial, lime, sparkling water, ice",Buransh cordial,No-cook,Universal cold-drink glass,149,159,All Day,Munchies / Salad,No,Vegan,Low,None,Core,,0,Pending,
Smol Experiments,Seasonal Drink,Seasonal Experiment 01,"Rotating seasonal drink: e.g., guava chilli fizz, peach cold brew, jamun soda or festive special.",Rotating; prioritise existing ingredients,One seasonal prep only,Varies,Universal cold-drink glass,149,179,All Day when active,Varies,No,Varies,Varies,Varies,Seasonal,,0,Pending,
Smol Experiments,Seasonal Drink,Seasonal Experiment 02,Second rotating seasonal slot; may occasionally include matcha if demand justifies it.,Rotating; prioritise existing ingredients,One seasonal prep only,Varies,Universal cold-drink glass,149,179,All Day when active,Varies,No,Varies,Varies,Varies,Seasonal,,0,Pending,Matcha is not a permanent section; only test in this slot if commercially justified.
"Chai, Chaas & Other Good Decisions",Chai,Smol Chai,Simple everyday chai designed as a repeat-visit traffic builder.,"Tea, milk, sugar, spices",Chai spice mix,Gas / induction,Chai glass,29,39,All Day,Bun Makkhan / Vada Pav,—,Vegetarian,Low,Mild,Core,,0,Pending,Must be validated against actual vendor cost; target food cost must work at ₹29.
"Chai, Chaas & Other Good Decisions",Chai,Adrak Chai,Everyday ginger chai.,"Tea, milk, sugar, ginger",Crushed ginger / ginger prep,Gas / induction,Chai glass,39,49,All Day,Bhurji Pav / Toast,—,Vegetarian,Low,Mild,Core,,0,Pending,
"Chai, Chaas & Other Good Decisions",Tea,Reset Tea,"Ginger, tulsi, lemongrass and citrus.","Ginger, tulsi, lemongrass, citrus, water",Herbal prep,Gas / induction,Tea cup / glass,59,69,All Day,Light breakfast / Salad,No,Vegan,Low,None,Core,,0,Pending,
"Chai, Chaas & Other Good Decisions",Chaas,Masala Chaas,"Yoghurt, roasted cumin, mint and spices.","Yoghurt, water, cumin, mint, salt, spices",Roast/grind cumin; mint prep,Blender / whisk,Universal cold-drink glass,59,69,All Day,Dal Chawal / Rajma,No,Vegetarian,Medium,Mild,Core,,0,Pending,
"Chai, Chaas & Other Good Decisions",Chaas,Smoked Jeera Chaas,Buttermilk with roasted cumin and lightly smoky spice.,"Yoghurt, water, smoked/roasted cumin, herbs, salt",Smoked cumin spice mix,Blender / whisk,Universal cold-drink glass,69,79,All Day,Khichdi / Bowl,No,Vegetarian,Medium,Mild,Core,,0,Pending,
Chai ke Saathi,Combo,Chai + Bun Makkhan,"Smol Chai with Bun Makkhan, Kanpur Se.",Smol Chai + Bun Makkhan,Use existing item prep,Existing stations,Chai glass + side plate,99,109,All Day,—,Yes,Vegetarian,Low,Mild,Combo,,0,Pending,
Chai ke Saathi,Combo,Chai + Vada Pav,Smol Chai with Vada Pav.,Smol Chai + Vada Pav,Use existing item prep,Existing stations,Chai glass + side plate,109,119,All Day,—,Yes,Vegetarian,Low-Medium,Medium,Combo,,0,Pending,
Chai ke Saathi,Combo,Chai + Chilli Cheese Toast,Smol Chai with Chilli Cheese Toast Fingers.,Smol Chai + Chilli Cheese Toast,Use existing item prep,Existing stations,Chai glass + side plate,149,159,All Day,—,Yes,Vegetarian,Medium,Medium,Combo,,0,Pending,
Chai ke Saathi,Combo,Chai + Bhurji Pav,Smol Chai with Egg Bhurji Pav; paneer upgrade priced separately.,Smol Chai + Egg Bhurji Pav,Use existing item prep,Existing stations,Chai glass + main plate,169,179,All Day,—,Yes,Egg,High,Medium,Combo,,0,Pending,
Chai ke Saathi,Combo,Chai + Bombay Toastie,Smol Chai with Bombay Toastie.,Smol Chai + Bombay Toastie,Use existing item prep,Existing stations,Chai glass + main plate,189,199,All Day,—,Yes,Vegetarian,Low-Medium,Medium,Combo,,0,Pending,
